#Bergenshus, incl. Bergen, 
#Region - Scandinavia
#Area - Western Norway

owner = NOR
controller = NOR
add_core = NOR
culture = norwegian
religion = catholic
hre = no
base_tax = 7
base_production = 7
trade_goods = naval_supplies
base_manpower = 4 
is_city = yes
capital = "Bergen"

#Claimants
add_core = HOR

#Commerce
center_of_trade = 1
extra_cost = 10

#Province Modifiers
add_permanent_province_modifier = {
    name = navalbase_modifier
    duration = -1
}

#History by SF
1299.1.1 = {
	base_tax = 5
	base_production = 5
	base_manpower = 3 
}	#The capital until 1299. It remained an important Hanseatic town and trade center, but after losing its status as capital, it faded into Oslo's shadow a bit.
