#5189 - Chena

owner = YYC			#Tanana
controller = YYC
add_core = YYC
is_city = yes
culture = tanana
religion = totemism 
capital = "Chena" 
trade_goods = fur
hre = no 
base_tax = 2
base_production = 2 
base_manpower = 2
native_size = 1 
native_ferocity = 1 
native_hostileness = 3  

center_of_trade = 1

#1444.11.12 = { #VictorumUniversalis batch edit shortcut native start date begin
#	owner = YYC			#Tanana
#	controller = YYC
#	add_core = YYC
#	is_city = yes
#	trade_goods = fur
#}
#1444.11.14 = { #VictorumUniversalis batch edit shortcut native start date end
#	owner = ---
#	controller = ---
#	remove_core = YYC
#	is_city = no
#	trade_goods = unknown
#}
